Player,Season,Pos,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,USG%,WS,BPM,VORP
Michael Jordan,1995-96,SG,CHI,82.0,82.0,37.7,11.2,22.6,0.495,1.4,3.2,0.427,6.7,8.0,0.834,1.8,4.8,6.6,4.3,2.2,0.5,2.4,2.4,30.4,29.4,0.582,33.3,20.4,10.5,9.8
Hakeem Olajuwon,1995-96,C,HOU,72.0,72.0,38.8,10.7,20.8,0.514,0.0,0.2,0.214,5.5,7.6,0.724,2.4,8.4,10.9,3.6,1.6,2.9,3.4,3.4,26.9,25.5,0.558,31.9,9.7,4.9,4.9
Shaquille O'Neal,1995-96,C,ORL,54.0,52.0,36.0,11.0,19.1,0.573,0.0,0.0,0.5,4.6,9.5,0.487,3.4,7.7,11.0,2.9,0.6,2.1,2.9,3.6,26.6,26.4,0.57,32.8,6.9,3.7,2.8
Karl Malone,1995-96,PF,UTA,82.0,82.0,38.0,9.6,18.5,0.519,0.2,0.5,0.4,6.2,8.6,0.723,2.1,7.7,9.8,4.2,1.7,0.7,2.4,3.0,25.7,26.0,0.575,29.8,15.1,7.0,7.1
David Robinson,1995-96,C,SAS,82.0,82.0,36.8,8.7,16.8,0.516,0.0,0.1,0.333,7.6,10.0,0.761,3.9,8.3,12.2,3.0,1.4,3.3,2.3,3.2,25.0,29.4,0.589,28.8,18.3,8.9,8.3
Chris Webber,1995-96,PF,WSB,15.0,15.0,37.2,10.0,18.4,0.543,1.0,2.3,0.441,2.7,4.6,0.594,2.5,5.1,7.6,5.0,1.8,0.6,3.3,3.4,23.7,23.6,0.581,28.5,1.9,5.7,1.1
Jamal Mashburn,1995-96,SF,DAL,18.0,18.0,37.2,8.1,21.3,0.379,1.9,5.7,0.343,5.4,7.4,0.729,2.1,3.3,5.4,2.8,0.8,0.2,3.1,2.2,23.4,14.4,0.478,30.9,0.2,-1.5,0.1
Charles Barkley,1995-96,PF,PHO,71.0,71.0,37.1,8.2,16.3,0.5,0.7,2.5,0.28,6.2,8.0,0.777,3.4,8.1,11.6,3.7,1.6,0.8,3.1,2.9,23.2,24.8,0.585,27.5,10.5,5.7,5.1
Alonzo Mourning,1995-96,C,MIA,70.0,70.0,38.2,8.0,15.4,0.523,0.1,0.4,0.3,7.0,10.2,0.685,3.1,7.3,10.4,2.3,1.0,2.7,3.7,3.5,23.2,22.7,0.584,28.1,9.9,4.2,4.2
Mitch Richmond,1995-96,SG,SAC,81.0,81.0,36.4,7.5,16.9,0.447,2.8,6.4,0.437,5.2,6.1,0.866,0.7,2.7,3.3,3.1,1.5,0.2,2.7,2.9,23.1,19.2,0.591,26.9,9.3,3.5,4.1
Patrick Ewing,1995-96,C,NYK,76.0,76.0,36.6,8.9,19.2,0.466,0.1,0.4,0.143,4.6,6.1,0.761,2.1,8.5,10.6,2.1,0.9,2.4,2.9,3.3,22.5,20.9,0.516,31.5,6.8,1.6,2.5
Juwan Howard,1995-96,PF,WSB,81.0,81.0,40.7,9.0,18.5,0.489,0.0,0.2,0.308,3.9,5.3,0.749,2.3,5.8,8.1,4.4,0.8,0.5,3.7,3.3,22.1,17.0,0.53,27.0,5.6,-0.4,1.3
Anfernee Hardaway,1995-96,PG,ORL,82.0,82.0,36.8,7.6,14.8,0.513,1.1,3.5,0.314,5.4,7.1,0.767,1.6,2.7,4.3,7.1,2.0,0.5,2.8,2.0,21.7,24.6,0.605,25.5,14.4,7.2,6.9
Glen Rice,1995-96,SF,CHH,79.0,79.0,39.8,7.7,16.4,0.471,2.2,5.1,0.424,4.0,4.8,0.837,1.1,3.7,4.8,2.9,1.2,0.2,2.1,2.7,21.6,17.8,0.584,23.4,8.3,1.4,2.7
Cedric Ceballos,1995-96,SF,LAL,78.0,71.0,33.7,8.2,15.4,0.53,0.7,2.4,0.277,4.2,5.2,0.804,2.8,4.1,6.9,1.5,1.2,0.3,2.1,1.8,21.2,22.1,0.599,26.5,9.8,2.6,3.1
Vin Baker,1995-96,PF,MIL,82.0,82.0,40.5,8.5,17.4,0.489,0.1,0.6,0.208,3.9,5.8,0.67,3.2,6.6,9.9,2.6,0.8,1.1,2.6,3.3,21.1,18.4,0.527,25.6,6.2,0.1,1.8
Reggie Miller,1995-96,SG,IND,76.0,76.0,34.5,6.6,14.0,0.473,2.2,5.4,0.41,5.7,6.6,0.863,0.5,2.3,2.8,3.3,1.0,0.2,2.5,2.3,21.1,20.1,0.625,25.8,10.3,4.7,4.5
Clifford Robinson,1995-96,SF,POR,78.0,76.0,38.2,7.1,16.7,0.423,2.3,6.0,0.378,4.6,6.9,0.664,1.6,4.1,5.7,2.4,1.1,0.9,2.5,3.2,21.1,16.3,0.532,25.6,8.0,2.1,3.0
Larry Johnson,1995-96,PF,CHH,81.0,81.0,40.4,7.2,15.1,0.476,0.8,2.3,0.366,5.3,7.0,0.757,3.1,5.4,8.4,4.4,0.7,0.5,2.2,2.1,20.5,19.8,0.563,22.9,10.1,2.8,3.9
Grant Hill,1995-96,SF,DET,80.0,80.0,40.8,7.1,15.3,0.462,0.1,0.3,0.192,6.1,8.1,0.751,1.6,8.2,9.8,6.9,1.3,0.6,3.3,3.0,20.2,20.9,0.537,25.9,11.7,4.8,5.6
Glenn Robinson,1995-96,SF,MIL,82.0,82.0,39.6,7.6,16.9,0.454,1.1,3.2,0.342,3.9,4.7,0.812,1.7,4.5,6.1,3.6,1.2,0.5,3.4,2.9,20.2,15.9,0.534,25.8,3.5,0.0,1.6
Sean Elliott,1995-96,SF,SAS,77.0,77.0,37.7,6.8,14.6,0.466,2.1,5.1,0.411,4.2,5.5,0.771,0.9,4.2,5.1,2.7,0.9,0.4,2.6,2.3,20.0,16.3,0.585,23.4,7.7,1.7,2.7
Allan Houston,1995-96,SG,DET,82.0,75.0,37.5,6.9,15.2,0.453,2.3,5.5,0.427,3.6,4.4,0.823,0.7,3.0,3.7,3.0,0.7,0.2,2.8,2.8,19.7,15.7,0.576,25.4,7.1,1.0,2.3
Dino Radja,1995-96,PF,BOS,53.0,52.0,37.4,8.0,16.1,0.5,0.0,0.0,,3.6,5.2,0.695,2.1,7.7,9.8,1.6,0.9,1.5,2.2,3.0,19.7,18.0,0.536,23.6,4.0,-0.3,0.9
Jim Jackson,1995-96,SG,DAL,82.0,82.0,34.4,6.9,16.0,0.435,1.5,4.1,0.363,4.2,5.1,0.825,2.1,2.9,5.0,2.9,0.6,0.3,2.3,2.0,19.6,16.6,0.538,24.9,5.4,-0.3,1.2
Shawn Kemp,1995-96,PF,SEA,79.0,76.0,33.3,6.7,11.9,0.561,0.1,0.2,0.417,6.2,8.4,0.742,3.5,7.9,11.4,2.2,1.2,1.6,4.0,3.8,19.6,22.6,0.631,26.2,11.2,2.8,3.2
Isaiah Rider,1995-96,SG,MIN,75.0,68.0,34.6,7.5,16.1,0.464,1.4,3.7,0.371,3.3,3.9,0.838,1.3,2.8,4.1,2.8,0.6,0.3,2.7,2.7,19.6,15.6,0.55,26.3,3.4,-0.9,0.7
Scottie Pippen,1995-96,SF,CHI,77.0,77.0,36.7,7.3,15.8,0.463,1.9,5.2,0.374,2.9,4.2,0.679,2.0,4.5,6.4,5.9,1.7,0.7,2.7,2.6,19.4,21.0,0.551,24.4,12.3,6.3,5.9
Terrell Brandon,1995-96,PG,CLE,75.0,75.0,34.3,6.8,14.6,0.465,1.2,3.1,0.387,4.5,5.1,0.887,0.6,2.7,3.3,6.5,1.8,0.4,1.9,1.9,19.3,25.2,0.573,27.6,12.7,7.5,6.2
Clyde Drexler,1995-96,SG,HOU,52.0,51.0,38.4,6.4,14.7,0.433,1.5,4.5,0.332,5.1,6.5,0.784,1.9,5.3,7.2,5.8,2.0,0.5,2.6,2.9,19.3,20.0,0.551,23.6,6.7,4.0,3.0
Gary Payton,1995-96,PG,SEA,81.0,81.0,39.0,7.6,15.8,0.484,1.2,3.7,0.328,2.8,3.8,0.748,1.3,2.9,4.2,7.5,2.9,0.2,3.2,2.7,19.3,19.6,0.554,23.6,11.5,4.6,5.2
Mahmoud Abdul-Rauf,1995-96,PG,DEN,57.0,53.0,35.6,7.3,16.8,0.434,2.1,5.4,0.392,2.6,2.8,0.93,0.5,2.0,2.4,6.8,1.1,0.1,2.0,2.1,19.2,18.6,0.535,25.1,5.5,1.9,1.9
Jerry Stackhouse,1995-96,SG,PHI,72.0,71.0,37.5,6.3,15.2,0.414,1.3,4.1,0.318,5.4,7.2,0.747,1.3,2.4,3.7,3.9,1.1,1.1,3.5,2.5,19.2,14.8,0.525,26.0,1.2,-1.0,0.7
Damon Stoudamire,1995-96,PG,TOR,70.0,70.0,40.9,6.9,16.1,0.426,1.9,4.8,0.395,3.4,4.2,0.797,0.8,3.2,4.0,9.3,1.4,0.3,3.8,2.4,19.0,16.7,0.528,23.5,4.3,0.1,1.6
George McCloud,1995-96,SF,DAL,79.0,63.0,36.0,6.7,16.2,0.414,3.3,8.6,0.379,2.3,2.8,0.804,1.5,3.3,4.8,2.7,1.4,0.5,2.1,2.7,18.9,15.9,0.543,22.6,5.8,1.4,2.4
Latrell Sprewell,1995-96,SG,GSW,78.0,78.0,39.3,6.6,15.4,0.428,1.2,3.6,0.323,4.5,5.7,0.789,1.6,3.3,4.9,4.2,1.6,0.6,2.8,1.9,18.9,15.9,0.527,23.0,5.5,0.7,2.1
Kevin Johnson,1995-96,PG,PHO,56.0,55.0,35.8,6.1,12.0,0.507,0.4,1.0,0.368,6.1,7.1,0.859,0.8,3.2,3.9,9.2,1.5,0.2,3.0,2.6,18.7,22.8,0.617,22.6,8.2,4.7,3.4
Rod Strickland,1995-96,PG,POR,67.0,63.0,37.7,7.0,15.3,0.46,0.6,1.7,0.342,4.1,6.3,0.652,1.3,3.1,4.4,9.6,1.4,0.2,3.8,2.0,18.7,19.1,0.519,25.4,7.1,3.1,3.2
Rik Smits,1995-96,C,IND,63.0,63.0,30.2,7.4,14.2,0.521,0.0,0.1,0.2,3.7,4.7,0.788,1.9,5.0,6.9,1.7,0.3,0.7,2.5,3.6,18.5,19.0,0.569,28.6,5.0,0.5,1.2
