Player,Season,Pos,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,USG%,WS,BPM,VORP
Ignas Brazdeikis,2021-22,SF,ORL,42.0,1.0,12.8,1.9,4.5,0.431,0.6,2.1,0.31,0.5,0.8,0.656,0.5,1.2,1.7,0.9,0.2,0.1,0.4,1.1,5.0,10.2,0.52,17.7,0.5,-4.3,-0.3
Jock Landale,2021-22,C,SAS,54.0,1.0,10.9,1.9,3.8,0.495,0.5,1.6,0.326,0.6,0.8,0.829,1.2,1.4,2.6,0.8,0.2,0.3,0.6,1.0,4.9,16.0,0.597,18.1,1.5,-0.4,0.2
Rajon Rondo,2021-22,PG,2TM,39.0,1.0,17.9,1.7,4.5,0.386,0.8,2.3,0.352,0.5,0.7,0.731,0.4,2.4,2.8,4.4,0.8,0.2,1.7,1.4,4.8,10.9,0.496,16.0,0.7,-1.7,0.1
Brandon Goodwin,2021-22,PG,CLE,36.0,5.0,13.9,1.8,4.3,0.416,0.5,1.5,0.345,0.7,1.1,0.632,0.4,1.5,1.9,2.5,0.7,0.0,1.0,1.1,4.8,11.8,0.501,18.2,0.7,-1.6,0.1
Josh Green,2021-22,SG,DAL,67.0,3.0,15.5,1.9,3.8,0.508,0.4,1.2,0.359,0.5,0.7,0.689,0.8,1.6,2.4,1.2,0.7,0.2,0.7,1.7,4.8,11.9,0.578,13.9,2.4,-1.0,0.3
John Konchar,2021-22,SG,MEM,72.0,7.0,17.9,1.9,3.6,0.515,0.7,1.8,0.413,0.4,0.7,0.551,1.2,3.4,4.6,1.5,0.6,0.3,0.4,1.3,4.8,14.0,0.615,9.9,4.2,1.5,1.2
Xavier Tillman Sr.,2021-22,PF,MEM,53.0,2.0,13.2,1.8,4.1,0.454,0.2,0.9,0.204,0.9,1.3,0.648,1.2,1.8,3.0,1.2,0.9,0.3,0.6,1.2,4.8,15.1,0.51,16.4,1.8,0.7,0.5
Udoka Azubuike,2021-22,C,UTA,17.0,6.0,11.5,2.2,2.9,0.755,0.0,0.0,,0.4,0.6,0.545,1.1,3.1,4.2,0.0,0.1,0.6,0.7,1.5,4.7,17.6,0.743,14.7,0.6,-1.4,0.0
Greg Brown III,2021-22,SF,POR,48.0,6.0,13.3,1.7,4.0,0.426,0.4,1.3,0.311,0.9,1.4,0.677,0.8,2.0,2.8,0.7,0.5,0.5,0.8,1.9,4.7,11.0,0.515,17.2,0.4,-4.7,-0.4
David Duke Jr.,2021-22,PG,BRK,22.0,7.0,15.5,1.8,4.9,0.361,0.4,1.7,0.243,0.8,1.0,0.81,1.4,1.7,3.0,0.8,0.6,0.3,0.4,1.6,4.7,10.0,0.444,15.9,0.3,-3.9,-0.2
