Player,Season,Pos,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,USG%,WS,BPM,VORP
Joel Embiid,2023-24,C,PHI,39.0,39.0,33.6,11.5,21.8,0.529,1.4,3.6,0.388,10.2,11.6,0.883,2.4,8.6,11.0,5.6,1.2,1.7,3.8,2.9,34.7,34.1,0.644,39.6,7.5,11.6,4.5
Luka DonÄiÄ,2023-24,PG,DAL,70.0,70.0,37.5,11.5,23.6,0.487,4.1,10.6,0.382,6.8,8.7,0.786,0.8,8.4,9.2,9.8,1.4,0.5,4.0,2.1,33.9,28.1,0.617,36.0,12.0,9.9,8.0
Giannis Antetokounmpo,2023-24,PF,MIL,73.0,73.0,35.2,11.5,18.8,0.611,0.5,1.7,0.274,7.0,10.7,0.657,2.7,8.8,11.5,6.5,1.2,1.1,3.4,2.9,30.4,29.9,0.649,33.0,13.2,9.0,7.2
Shai Gilgeous-Alexander,2023-24,PG,OKC,75.0,75.0,34.0,10.6,19.8,0.535,1.3,3.6,0.353,7.6,8.7,0.874,0.9,4.7,5.5,6.2,2.0,0.9,2.2,2.5,30.1,29.3,0.636,32.8,14.6,9.0,7.1
Jalen Brunson,2023-24,PG,NYK,77.0,77.0,35.4,10.3,21.4,0.479,2.7,6.8,0.401,5.5,6.5,0.847,0.6,3.1,3.6,6.7,0.9,0.2,2.4,1.9,28.7,23.4,0.592,32.5,11.2,5.8,5.4
Devin Booker,2023-24,PG,PHO,68.0,68.0,36.0,9.4,19.2,0.492,2.2,6.1,0.364,6.0,6.7,0.886,0.8,3.7,4.5,6.9,0.9,0.4,2.6,3.0,27.1,21.9,0.611,29.8,9.2,3.0,3.1
Kevin Durant,2023-24,PF,PHO,75.0,75.0,37.2,10.0,19.1,0.523,2.2,5.4,0.413,4.8,5.6,0.856,0.5,6.1,6.6,5.0,0.9,1.2,3.3,1.8,27.1,21.2,0.626,29.0,8.3,4.0,4.3
Jayson Tatum,2023-24,PF,BOS,74.0,74.0,35.7,9.1,19.3,0.471,3.1,8.2,0.376,5.6,6.7,0.833,0.9,7.2,8.1,4.9,1.0,0.6,2.5,2.0,26.9,22.3,0.604,30.2,10.4,5.1,4.7
De'Aaron Fox,2023-24,PG,SAC,74.0,74.0,35.9,9.7,20.9,0.465,2.9,7.8,0.369,4.2,5.7,0.738,0.9,3.7,4.6,5.6,2.0,0.4,2.6,2.6,26.6,20.1,0.567,31.0,6.5,2.7,3.2
Donovan Mitchell,2023-24,SG,CLE,55.0,55.0,35.3,9.1,19.8,0.462,3.3,9.0,0.368,5.0,5.8,0.865,0.8,4.3,5.1,6.1,1.8,0.5,2.8,2.1,26.6,22.1,0.595,31.4,6.4,5.8,3.9
Stephen Curry,2023-24,PG,GSW,74.0,74.0,32.7,8.8,19.5,0.45,4.8,11.8,0.408,4.0,4.4,0.923,0.5,4.0,4.5,5.1,0.7,0.4,2.8,1.6,26.4,20.6,0.616,31.3,7.2,5.2,4.4
Nikola JokiÄ,2023-24,C,DEN,79.0,79.0,34.6,10.4,17.9,0.583,1.1,2.9,0.359,4.5,5.5,0.817,2.8,9.5,12.4,9.0,1.4,0.9,3.0,2.5,26.4,31.0,0.65,29.3,17.0,13.2,10.6
Anthony Edwards,2023-24,SG,MIN,79.0,78.0,35.1,9.1,19.7,0.461,2.4,6.7,0.357,5.4,6.4,0.836,0.7,4.8,5.4,5.1,1.3,0.5,3.1,1.8,25.9,19.7,0.575,32.3,7.5,3.3,3.7
