Player,Season,Pos,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,USG%,WS,BPM,VORP
Shai Gilgeous-Alexander,2024-25,PG,OKC,76.0,76.0,34.2,11.3,21.8,0.519,2.1,5.7,0.375,7.9,8.8,0.898,0.9,4.1,5.0,6.4,1.7,1.0,2.4,2.2,32.7,30.7,0.637,34.8,16.7,11.5,8.9
Giannis Antetokounmpo,2024-25,PF,MIL,67.0,67.0,34.2,11.8,19.7,0.601,0.2,0.9,0.222,6.5,10.6,0.617,2.2,9.7,11.9,6.5,0.9,1.2,3.1,2.3,30.4,30.5,0.625,35.2,11.5,9.5,6.6
Nikola JokiÄ,2024-25,C,DEN,70.0,70.0,36.7,11.2,19.5,0.576,2.0,4.7,0.417,5.2,6.4,0.8,2.9,9.9,12.7,10.2,1.8,0.6,3.3,2.3,29.6,32.0,0.663,29.5,16.4,13.3,9.8
Luka DonÄiÄ,2024-25,PG,2TM,50.0,50.0,35.4,9.2,20.5,0.45,3.5,9.6,0.368,6.2,7.9,0.782,0.8,7.4,8.2,7.7,1.8,0.4,3.6,2.5,28.2,24.1,0.587,33.9,5.9,6.7,3.9
Anthony Edwards,2024-25,SG,MIN,79.0,79.0,36.3,9.1,20.4,0.447,4.1,10.3,0.395,5.3,6.3,0.837,0.8,4.9,5.7,4.5,1.2,0.6,3.2,1.9,27.6,20.1,0.595,31.4,8.4,4.3,4.6
Jayson Tatum,2024-25,PF,BOS,72.0,72.0,36.4,9.2,20.3,0.452,3.5,10.1,0.343,5.0,6.1,0.814,0.7,8.0,8.7,6.0,1.1,0.5,2.9,2.2,26.8,21.7,0.582,31.2,9.5,5.2,4.8
Kevin Durant,2024-25,PF,PHO,62.0,62.0,36.5,9.5,18.1,0.527,2.6,6.0,0.43,4.9,5.8,0.839,0.4,5.7,6.0,4.2,0.8,1.2,3.1,1.7,26.6,21.2,0.642,28.7,5.2,3.2,3.0
Tyrese Maxey,2024-25,PG,PHI,52.0,52.0,37.7,9.2,21.0,0.437,3.1,9.2,0.337,4.9,5.6,0.879,0.3,3.1,3.3,6.1,1.8,0.4,2.4,2.2,26.3,19.5,0.562,29.8,3.8,2.0,2.0
Cade Cunningham,2024-25,PG,DET,70.0,70.0,35.0,9.8,20.8,0.469,2.1,6.0,0.356,4.5,5.3,0.846,0.8,5.3,6.1,9.1,1.0,0.8,4.4,2.8,26.1,20.6,0.565,33.2,5.9,3.9,3.7
Jalen Brunson,2024-25,PG,NYK,65.0,65.0,35.4,9.0,18.5,0.488,2.3,6.1,0.383,5.7,6.9,0.821,0.4,2.5,2.9,7.3,0.9,0.1,2.5,2.1,26.0,21.6,0.605,29.5,8.3,3.3,3.1
Paolo Banchero,2024-25,PF,ORL,46.0,46.0,34.4,9.0,19.8,0.452,1.9,5.9,0.32,6.1,8.4,0.727,1.1,6.4,7.5,4.8,0.8,0.6,3.0,2.1,25.9,20.0,0.551,33.6,3.5,3.5,2.2
Devin Booker,2024-25,SG,PHO,75.0,75.0,37.3,8.7,18.9,0.461,2.4,7.3,0.332,5.8,6.4,0.894,1.0,3.1,4.1,7.1,0.9,0.2,2.9,2.6,25.6,19.3,0.589,29.3,6.4,0.4,1.7
