Player,Season,Pos,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,USG%,WS,BPM,VORP
Joel Embiid,2022-23,C,PHI,66.0,66.0,34.6,11.0,20.1,0.548,1.0,3.0,0.33,10.0,11.7,0.857,1.7,8.4,10.2,4.2,1.0,1.7,3.4,3.1,33.1,31.4,0.655,37.0,12.3,9.2,6.4
Luka DonÄiÄ,2022-23,PG,DAL,66.0,66.0,36.2,10.9,22.0,0.496,2.8,8.2,0.342,7.8,10.5,0.742,0.8,7.8,8.6,8.0,1.4,0.5,3.6,2.5,32.4,28.7,0.609,37.6,10.2,8.9,6.6
Damian Lillard,2022-23,PG,POR,58.0,58.0,36.3,9.6,20.7,0.463,4.2,11.3,0.371,8.8,9.6,0.914,0.8,4.0,4.8,7.3,0.9,0.3,3.3,1.9,32.2,26.7,0.645,33.8,9.0,7.1,4.9
Shai Gilgeous-Alexander,2022-23,PG,OKC,68.0,68.0,35.5,10.4,20.3,0.51,0.9,2.5,0.345,9.8,10.9,0.905,0.9,4.0,4.8,5.5,1.6,1.0,2.8,2.8,31.4,27.2,0.626,32.8,11.4,7.3,5.6
Giannis Antetokounmpo,2022-23,PF,MIL,63.0,63.0,32.1,11.2,20.3,0.553,0.7,2.7,0.275,7.9,12.3,0.645,2.2,9.6,11.8,5.7,0.8,0.8,3.9,3.1,31.1,29.0,0.605,38.8,8.6,8.5,5.4
Jayson Tatum,2022-23,SF,BOS,74.0,74.0,36.9,9.8,21.1,0.466,3.2,9.3,0.35,7.2,8.4,0.854,1.1,7.7,8.8,4.6,1.1,0.7,2.9,2.2,30.1,23.7,0.607,32.7,10.5,5.5,5.1
Stephen Curry,2022-23,PG,GSW,56.0,56.0,34.7,10.0,20.2,0.493,4.9,11.4,0.427,4.6,5.0,0.915,0.7,5.4,6.1,6.3,0.9,0.4,3.2,2.1,29.4,24.1,0.656,31.0,7.8,7.5,4.7
Kevin Durant,2022-23,PF,2TM,47.0,47.0,35.6,10.3,18.3,0.56,2.0,4.9,0.404,6.5,7.1,0.919,0.4,6.3,6.7,5.0,0.7,1.4,3.3,2.1,29.1,25.9,0.677,30.7,6.8,7.1,3.9
LeBron James,2022-23,PF,LAL,55.0,54.0,35.5,11.1,22.2,0.5,2.2,6.9,0.321,4.6,5.9,0.768,1.2,7.1,8.3,6.8,0.9,0.6,3.2,1.6,28.9,23.9,0.583,33.3,5.6,6.1,4.0
Donovan Mitchell,2022-23,SG,CLE,68.0,68.0,35.8,10.0,20.6,0.484,3.6,9.3,0.386,4.7,5.4,0.867,0.9,3.3,4.3,4.4,1.5,0.4,2.6,2.5,28.3,22.9,0.614,32.1,8.9,6.3,5.0
Devin Booker,2022-23,SG,PHO,53.0,53.0,34.6,9.9,20.1,0.494,2.1,6.0,0.351,5.8,6.8,0.855,0.9,3.7,4.5,5.5,1.0,0.3,2.7,3.0,27.8,22.0,0.601,31.8,6.0,4.2,2.9
Kyrie Irving,2022-23,SG,2TM,60.0,60.0,37.4,9.9,20.1,0.494,3.1,8.3,0.379,4.1,4.6,0.905,1.0,4.1,5.1,5.5,1.1,0.8,2.1,2.8,27.1,22.4,0.613,28.9,7.4,4.1,3.5
Jaylen Brown,2022-23,SF,BOS,67.0,67.0,35.9,10.1,20.6,0.491,2.4,7.3,0.335,3.9,5.1,0.765,1.2,5.7,6.9,3.5,1.1,0.4,2.9,2.6,26.6,19.1,0.581,31.4,5.0,1.3,2.0
Ja Morant,2022-23,PG,MEM,61.0,59.0,31.9,9.3,19.9,0.466,1.5,4.9,0.307,6.1,8.1,0.748,1.0,4.9,5.9,8.1,1.1,0.3,3.4,1.6,26.2,23.3,0.557,34.9,6.0,5.7,3.8
Trae Young,2022-23,PG,ATL,73.0,73.0,34.8,8.2,19.0,0.429,2.1,6.3,0.335,7.8,8.8,0.886,0.8,2.2,3.0,10.2,1.1,0.1,4.1,1.4,26.2,22.0,0.573,32.6,6.7,3.3,3.4
Zion Williamson,2022-23,PF,NOP,29.0,29.0,33.0,9.8,16.2,0.608,0.2,0.7,0.368,6.1,8.6,0.714,2.0,5.0,7.0,4.6,1.1,0.6,3.4,2.2,26.0,25.2,0.652,30.4,3.6,5.8,1.9
