Player,Season,Pos,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,USG%,WS,BPM,VORP
Stephen Curry,2015-16,PG,GSW,79.0,79.0,34.2,10.2,20.2,0.504,5.1,11.2,0.454,4.6,5.1,0.908,0.9,4.6,5.4,6.7,2.1,0.2,3.3,2.0,30.1,31.5,0.669,32.6,17.9,11.9,9.5
James Harden,2015-16,SG,HOU,82.0,82.0,38.1,8.7,19.7,0.439,2.9,8.0,0.359,8.8,10.2,0.86,0.8,5.3,6.1,7.5,1.7,0.6,4.6,2.8,29.0,25.3,0.598,32.5,13.3,6.6,6.8
Kevin Durant,2015-16,SF,OKC,72.0,72.0,35.8,9.7,19.2,0.505,2.6,6.7,0.387,6.2,6.9,0.898,0.6,7.6,8.2,5.0,1.0,1.2,3.5,1.9,28.2,28.2,0.634,30.6,14.5,9.9,7.8
DeMarcus Cousins,2015-16,C,SAC,65.0,65.0,34.6,9.2,20.5,0.451,1.1,3.2,0.333,7.3,10.2,0.718,2.4,9.1,11.5,3.3,1.6,1.4,3.8,3.6,26.9,23.6,0.538,35.4,5.7,3.3,3.0
LeBron James,2015-16,SF,CLE,76.0,76.0,35.6,9.7,18.6,0.52,1.1,3.7,0.309,4.7,6.5,0.731,1.5,6.0,7.4,6.8,1.4,0.6,3.3,1.9,25.3,27.5,0.588,31.4,13.6,9.0,7.5
Damian Lillard,2015-16,PG,POR,75.0,75.0,35.7,8.2,19.7,0.419,3.1,8.1,0.375,5.5,6.2,0.892,0.6,3.4,4.0,6.8,0.9,0.4,3.2,2.2,25.1,22.2,0.56,31.3,9.2,4.4,4.3
Anthony Davis,2015-16,C,NOP,61.0,61.0,35.5,9.2,18.6,0.493,0.6,1.8,0.324,5.3,7.0,0.758,2.1,8.1,10.3,1.9,1.3,2.0,2.0,2.4,24.3,25.0,0.559,29.6,7.2,3.9,3.2
DeMar DeRozan,2015-16,SG,TOR,78.0,78.0,35.9,7.9,17.7,0.446,0.6,1.8,0.338,7.1,8.4,0.85,0.8,3.7,4.5,4.0,1.0,0.3,2.2,2.1,23.5,21.5,0.55,29.8,9.9,2.5,3.2
Russell Westbrook,2015-16,PG,OKC,80.0,80.0,34.4,8.2,18.1,0.454,1.3,4.3,0.296,5.8,7.2,0.812,1.8,6.0,7.8,10.4,2.0,0.3,4.3,2.5,23.5,27.6,0.554,31.6,14.0,7.8,6.8
Paul George,2015-16,SF,IND,81.0,81.0,34.8,7.5,17.9,0.418,2.6,7.0,0.371,5.6,6.5,0.86,1.0,6.0,7.0,4.1,1.9,0.4,3.3,2.8,23.1,20.9,0.557,30.4,9.2,4.9,4.9
Isaiah Thomas,2015-16,PG,BOS,82.0,79.0,32.2,7.2,16.9,0.428,2.0,5.7,0.359,5.8,6.6,0.871,0.6,2.4,3.0,6.2,1.1,0.1,2.7,2.0,22.2,21.5,0.562,29.6,9.7,4.3,4.2
Klay Thompson,2015-16,SG,GSW,80.0,80.0,33.3,8.1,17.3,0.47,3.5,8.1,0.425,2.4,2.8,0.873,0.4,3.4,3.8,2.1,0.8,0.6,1.7,1.9,22.1,18.6,0.597,26.3,8.0,1.8,2.5
Carmelo Anthony,2015-16,SF,NYK,72.0,72.0,35.1,7.9,18.2,0.434,1.5,4.3,0.339,4.6,5.6,0.829,1.4,6.4,7.7,4.2,0.9,0.5,2.4,2.5,21.8,20.3,0.53,29.7,6.4,3.3,3.4
Blake Griffin,2015-16,PF,LAC,35.0,35.0,33.4,8.6,17.2,0.499,0.2,0.5,0.333,4.0,5.5,0.727,1.5,6.9,8.4,4.9,0.8,0.5,2.4,2.7,21.4,22.1,0.544,29.8,3.8,4.5,1.9
Kawhi Leonard,2015-16,SF,SAS,72.0,72.0,33.1,7.7,15.1,0.506,1.8,4.0,0.443,4.1,4.6,0.874,1.3,5.5,6.8,2.6,1.8,1.0,1.5,1.8,21.2,26.0,0.616,25.8,13.7,9.1,6.7
Kyle Lowry,2015-16,PG,TOR,77.0,77.0,37.0,6.6,15.6,0.427,2.8,7.1,0.388,5.2,6.4,0.811,0.7,4.0,4.7,6.4,2.1,0.4,2.9,2.7,21.2,22.2,0.578,26.1,11.6,5.8,5.7
