Player,Season,Pos,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,USG%,WS,BPM,VORP
Mike Mitchell,1985-86,SF,SAS,82.0,82.0,36.2,9.8,20.7,0.473,0.0,0.1,0.0,3.9,4.8,0.809,1.6,3.4,5.0,2.3,0.7,0.3,2.2,2.1,23.4,15.9,0.514,27.8,4.4,-2.3,-0.3
Michael Jordan,1985-86,SG,CHI,18.0,7.0,25.1,8.3,18.2,0.457,0.2,1.0,0.167,5.8,6.9,0.84,1.3,2.3,3.6,2.9,2.1,1.2,2.5,2.6,22.7,27.5,0.533,38.6,1.5,9.7,1.3
Mark Aguirre,1985-86,SF,DAL,74.0,73.0,33.8,9.0,17.9,0.503,0.2,0.8,0.286,4.3,6.1,0.705,2.4,3.6,6.0,4.6,0.8,0.2,3.4,3.1,22.6,19.2,0.547,29.0,4.7,0.3,1.4
Jeff Malone,1985-86,SG,WSB,80.0,80.0,37.4,9.2,19.0,0.483,0.0,0.2,0.176,4.0,4.6,0.868,0.8,2.8,3.6,2.4,0.9,0.2,2.1,2.3,22.4,16.3,0.533,25.9,6.1,-1.2,0.6
Walter Davis,1985-86,SG,PHO,70.0,62.0,32.0,8.9,18.4,0.485,0.3,1.1,0.237,3.7,4.4,0.843,0.8,2.1,2.9,5.2,1.4,0.0,3.1,2.2,21.8,18.1,0.536,29.2,4.2,0.4,1.4
Rolando Blackman,1985-86,SG,DAL,82.0,81.0,34.0,8.3,16.1,0.514,0.0,0.4,0.138,4.9,5.9,0.836,1.1,2.5,3.5,3.3,1.0,0.3,2.3,1.7,21.5,19.0,0.576,25.2,7.0,0.6,1.8
Kevin McHale,1985-86,PF,BOS,68.0,62.0,35.3,8.3,14.4,0.574,0.0,0.0,,4.8,6.2,0.776,2.5,5.6,8.1,2.7,0.4,2.0,2.2,2.8,21.3,21.6,0.623,22.5,11.0,4.4,3.9
Joe Barry Carroll,1985-86,C,GSW,79.0,79.0,35.5,8.2,17.8,0.463,0.0,0.0,0.0,4.8,6.3,0.752,2.4,6.0,8.5,2.2,1.3,1.8,3.5,3.5,21.2,17.2,0.516,26.6,3.4,-0.7,0.9
Isiah Thomas,1985-86,PG,DET,77.0,77.0,36.2,7.9,16.2,0.488,0.3,1.1,0.31,4.7,6.0,0.79,1.1,2.5,3.6,10.8,2.2,0.3,3.8,3.2,20.9,21.2,0.554,24.4,8.8,5.0,4.9
Orlando Woolridge,1985-86,SF,CHI,70.0,59.0,32.1,7.7,15.6,0.495,0.1,0.3,0.174,5.2,6.6,0.788,2.1,2.9,5.0,3.0,0.7,0.7,2.5,2.7,20.7,19.6,0.56,26.5,5.6,2.0,2.3
Marques Johnson,1985-86,SG,LAC,75.0,75.0,34.7,8.2,16.0,0.51,0.0,0.2,0.067,4.0,5.2,0.76,2.1,3.5,5.5,3.8,1.4,0.7,2.4,2.9,20.3,18.9,0.555,24.0,5.9,1.7,2.5
Sidney Moncrief,1985-86,PG,MIL,73.0,72.0,35.2,6.4,13.2,0.489,0.5,1.4,0.32,6.8,7.9,0.859,1.6,3.0,4.6,4.9,1.4,0.2,2.4,2.4,20.2,20.0,0.604,21.8,11.7,4.9,4.5
Larry Nance,1985-86,PF,PHO,73.0,69.0,34.0,8.0,13.7,0.581,0.0,0.1,0.0,4.2,6.1,0.698,2.3,6.2,8.5,3.3,1.0,1.8,2.9,3.4,20.2,20.5,0.616,22.6,8.4,3.9,3.7
Charles Barkley,1985-86,PF,PHI,80.0,80.0,36.9,7.4,13.0,0.572,0.2,0.9,0.227,5.0,7.2,0.685,4.4,8.4,12.8,3.9,2.2,1.6,4.4,4.2,20.0,22.4,0.619,22.4,10.8,5.1,5.3
Patrick Ewing,1985-86,C,NYK,50.0,50.0,35.4,7.7,16.3,0.474,0.0,0.1,0.0,4.5,6.1,0.739,2.5,6.5,9.0,2.0,1.1,2.1,3.4,3.8,20.0,17.4,0.526,26.5,3.1,1.1,1.4
Kelly Tripucka,1985-86,SF,DET,81.0,81.0,32.4,7.6,15.3,0.498,0.1,0.3,0.48,4.7,5.5,0.856,1.4,2.9,4.3,3.3,1.1,0.1,2.3,2.1,20.0,18.3,0.567,24.1,7.5,1.8,2.5
James Worthy,1985-86,SF,LAL,75.0,73.0,32.7,8.4,14.5,0.579,0.0,0.2,0.0,3.2,4.2,0.771,1.8,3.3,5.2,2.7,1.1,1.0,2.0,2.6,20.0,20.4,0.613,22.6,9.5,3.9,3.6
Herb Williams,1985-86,C,IND,78.0,74.0,35.5,8.0,16.3,0.492,0.0,0.2,0.083,3.8,5.2,0.73,2.2,6.9,9.1,2.2,0.6,2.4,2.7,3.1,19.9,17.9,0.533,24.6,6.2,1.4,2.4
Terry Cummings,1985-86,PF,MIL,82.0,82.0,32.5,8.3,17.5,0.474,0.0,0.0,0.0,3.2,4.9,0.656,2.7,5.8,8.5,2.4,1.5,0.6,2.3,3.5,19.8,18.2,0.503,27.2,7.4,0.9,2.0
Roy Hinson,1985-86,SF,CLE,82.0,82.0,34.6,7.6,14.2,0.532,0.0,0.0,0.0,4.4,6.2,0.719,2.0,5.8,7.8,1.2,0.8,1.4,2.3,3.9,19.6,17.4,0.578,22.8,7.4,0.7,1.9
Jeff Ruland,1985-86,PF,WSB,30.0,24.0,37.1,7.1,12.8,0.554,0.0,0.1,0.0,4.8,6.7,0.725,3.6,7.1,10.7,5.3,0.8,0.8,4.0,3.3,19.0,20.0,0.604,22.2,3.5,3.5,1.5
Ralph Sampson,1985-86,PF,HOU,79.0,76.0,36.3,7.9,16.2,0.488,0.0,0.2,0.133,3.1,4.8,0.641,3.3,7.9,11.1,3.6,1.3,1.6,3.6,3.9,18.9,16.9,0.516,23.6,5.0,0.4,1.8
Magic Johnson,1985-86,PG,LAL,72.0,70.0,35.8,6.7,12.8,0.526,0.1,0.6,0.233,5.3,6.0,0.871,1.2,4.7,5.9,12.6,1.6,0.2,3.8,1.8,18.8,24.0,0.61,21.6,12.1,6.7,5.7
Eddie Johnson,1985-86,SF,SAC,82.0,30.0,30.7,7.6,16.0,0.475,0.0,0.2,0.2,3.4,4.2,0.816,2.1,3.0,5.1,2.6,0.7,0.2,2.3,2.9,18.7,15.8,0.523,26.6,4.0,-1.1,0.6
Cliff Robinson,1985-86,SF,WSB,78.0,78.0,32.9,7.6,16.1,0.474,0.0,0.1,0.25,3.4,4.5,0.762,2.3,6.4,8.7,2.4,1.3,0.6,2.6,2.8,18.7,18.3,0.518,26.4,5.6,0.7,1.7
Tom Chambers,1985-86,PF,SEA,66.0,26.0,30.6,6.5,14.1,0.466,0.2,0.7,0.271,5.2,6.3,0.836,1.9,4.6,6.5,2.0,0.8,0.6,2.9,3.8,18.5,17.1,0.551,27.0,4.8,-0.1,1.0
Clyde Drexler,1985-86,SG,POR,75.0,58.0,34.3,7.2,15.2,0.475,0.2,0.8,0.2,3.9,5.1,0.769,2.3,3.3,5.6,8.0,2.6,0.6,3.8,3.6,18.5,19.8,0.53,24.4,6.7,4.3,4.1
Reggie Theus,1985-86,SG,SAC,82.0,82.0,35.6,6.7,13.9,0.48,0.1,0.4,0.171,4.9,6.0,0.827,0.9,2.8,3.7,9.6,1.4,0.2,4.0,2.8,18.3,17.9,0.556,23.3,6.4,1.2,2.4
Julius Erving,1985-86,SG,PHI,74.0,74.0,33.4,7.0,14.7,0.48,0.1,0.4,0.281,3.9,5.0,0.785,2.3,2.7,5.0,3.4,1.5,1.1,2.9,2.6,18.1,17.4,0.537,23.8,5.9,2.1,2.6
Calvin Natt,1985-86,PF,DEN,69.0,62.0,29.1,6.8,13.5,0.504,0.0,0.1,0.333,4.0,5.0,0.801,1.8,4.5,6.3,2.4,0.8,0.2,1.9,2.1,17.7,18.6,0.562,23.3,6.1,1.3,1.7
Clark Kellogg,1985-86,PF,IND,19.0,12.0,29.9,7.3,15.5,0.473,0.2,0.7,0.308,2.8,3.6,0.768,2.7,6.2,8.8,3.0,1.5,0.4,3.2,3.1,17.6,18.2,0.516,27.8,0.9,1.1,0.5
Sleepy Floyd,1985-86,PG,GSW,82.0,82.0,33.7,6.2,12.3,0.506,0.5,1.5,0.328,4.3,5.4,0.796,0.9,2.7,3.6,9.1,1.9,0.2,3.5,2.4,17.2,20.0,0.587,21.2,7.5,3.5,3.9
Xavier McDaniel,1985-86,SF,SEA,82.0,80.0,33.0,7.0,14.3,0.49,0.0,0.1,0.2,3.0,4.4,0.687,3.7,4.2,8.0,2.4,1.2,0.5,3.0,3.7,17.1,16.3,0.525,24.5,5.1,-0.3,1.2
Jack Sikma,1985-86,C,SEA,80.0,78.0,34.9,6.4,13.8,0.462,0.0,0.2,0.0,4.4,5.1,0.864,1.8,7.5,9.4,3.8,1.2,0.9,2.7,3.7,17.1,17.6,0.535,22.4,7.8,2.5,3.1
Alvin Robertson,1985-86,SG,SAS,82.0,82.0,35.1,6.9,13.3,0.514,0.1,0.4,0.276,3.2,4.0,0.795,2.2,4.0,6.3,5.5,3.7,0.5,3.1,3.6,17.0,19.5,0.563,20.9,8.6,4.7,4.9
Lewis Lloyd,1985-86,SG,HOU,82.0,82.0,29.8,7.2,13.6,0.529,0.0,0.2,0.2,2.4,2.9,0.843,1.9,2.1,4.0,3.7,1.2,0.3,2.4,2.6,16.9,17.7,0.567,22.6,6.3,1.4,2.1
Artis Gilmore,1985-86,C,SAS,71.0,71.0,33.7,6.0,9.6,0.618,0.0,0.0,0.0,4.8,6.8,0.701,2.3,6.1,8.5,1.4,0.5,1.5,2.6,3.4,16.7,17.1,0.661,18.2,7.1,0.8,1.7
Bill Laimbeer,1985-86,C,DET,82.0,82.0,35.3,6.6,13.5,0.492,0.0,0.2,0.286,3.2,3.9,0.834,3.7,9.4,13.1,1.8,0.7,0.8,1.6,3.5,16.6,17.6,0.545,18.7,9.2,0.6,1.9
Mike Gminski,1985-86,C,NJN,81.0,78.0,31.2,6.1,11.7,0.517,0.0,0.0,0.0,4.3,4.9,0.893,2.5,5.7,8.2,1.6,0.7,0.9,1.7,2.0,16.5,19.0,0.594,19.9,9.2,2.5,2.9
Quintin Dailey,1985-86,SG,CHI,35.0,0.0,20.7,5.8,13.4,0.432,0.0,0.2,0.0,4.7,5.7,0.823,0.6,1.4,1.9,1.9,0.6,0.1,1.9,2.5,16.3,18.1,0.511,35.1,1.0,-2.2,0.0
James Edwards,1985-86,C,PHO,52.0,51.0,25.3,6.1,11.3,0.542,0.0,0.0,,4.1,5.8,0.702,1.5,4.3,5.8,1.4,0.4,0.6,2.5,3.8,16.3,16.7,0.589,25.7,3.0,-1.3,0.2
George Gervin,1985-86,SG,CHI,82.0,75.0,25.2,6.3,13.4,0.472,0.0,0.2,0.211,3.5,3.9,0.879,1.0,1.7,2.6,1.8,0.6,0.3,2.0,2.6,16.2,16.0,0.534,27.6,3.0,-2.1,0.0
Robert Parish,1985-86,C,BOS,81.0,80.0,31.7,6.5,11.9,0.549,0.0,0.0,,3.0,4.1,0.731,3.0,6.5,9.5,1.8,0.8,1.4,2.3,2.7,16.1,18.8,0.586,20.8,9.2,2.1,2.6
Buck Williams,1985-86,PF,NJN,82.0,82.0,37.4,6.1,11.7,0.523,0.0,0.0,0.0,3.7,5.4,0.676,4.0,8.0,12.0,1.6,0.9,1.2,3.0,3.6,15.9,15.1,0.565,18.1,6.8,-0.6,1.1
Otis Birdsong,1985-86,SG,NJN,77.0,74.0,31.1,7.0,13.7,0.513,0.1,0.3,0.364,1.6,2.7,0.581,1.1,1.5,2.6,3.4,1.1,0.2,2.3,3.0,15.8,13.4,0.529,22.1,3.2,-1.1,0.6
Pat Cummings,1985-86,C,NYK,31.0,30.0,32.5,6.3,13.2,0.478,0.0,0.1,0.0,3.1,4.5,0.698,3.0,6.1,9.0,1.5,0.9,0.4,2.8,4.4,15.7,14.0,0.519,23.1,1.5,-1.6,0.1
Michael Ray Richardson,1985-86,PG,NJN,47.0,39.0,34.1,6.3,14.1,0.448,0.1,0.6,0.148,3.0,3.8,0.788,1.6,3.7,5.3,7.2,2.7,0.2,3.2,3.5,15.7,16.9,0.498,22.1,3.3,2.8,1.9
Dennis Johnson,1985-86,PG,BOS,78.0,78.0,35.0,6.2,13.6,0.455,0.1,0.5,0.143,3.1,3.8,0.818,0.9,2.6,3.4,5.8,1.4,0.4,2.2,2.6,15.6,14.7,0.509,20.5,6.7,0.5,1.8
Mike Woodson,1985-86,SG,SAC,81.0,51.0,29.8,6.3,13.2,0.475,0.0,0.2,0.154,3.0,3.6,0.837,1.2,1.6,2.8,2.4,1.1,0.5,1.8,2.7,15.6,14.2,0.527,22.5,4.0,-0.7,0.8
John Lucas,1985-86,PG,HOU,65.0,65.0,32.6,5.6,12.6,0.446,0.7,2.2,0.308,3.6,4.6,0.775,0.5,1.7,2.2,8.8,1.2,0.1,2.3,1.9,15.5,17.4,0.53,20.2,5.7,1.8,2.0
Maurice Cheeks,1985-86,PG,PHI,82.0,82.0,39.9,6.0,11.1,0.537,0.0,0.2,0.235,3.4,4.1,0.842,0.7,2.2,2.9,9.2,2.5,0.3,2.9,2.0,15.4,17.9,0.597,16.0,10.6,3.6,4.6
Sam Perkins,1985-86,PF,DAL,80.0,79.0,32.8,5.7,11.4,0.503,0.1,0.4,0.333,3.8,4.7,0.814,2.4,6.1,8.6,1.9,0.9,1.2,1.8,2.7,15.4,17.6,0.573,19.0,7.3,1.0,1.9
Byron Scott,1985-86,SG,LAL,76.0,62.0,28.8,6.7,13.0,0.513,0.3,0.8,0.361,1.8,2.3,0.784,0.7,1.8,2.5,2.2,1.1,0.2,1.4,2.2,15.4,15.0,0.55,21.7,5.2,-0.3,0.9
Darryl Dawkins,1985-86,C,NJN,51.0,3.0,23.7,5.6,8.6,0.644,0.0,0.0,0.0,4.1,5.8,0.707,1.7,3.3,4.9,1.5,0.3,1.2,2.4,4.5,15.3,19.5,0.68,23.0,4.4,2.1,1.2
Karl Malone,1985-86,PF,UTA,81.0,76.0,30.6,6.2,12.5,0.496,0.0,0.0,0.0,2.4,5.0,0.481,2.1,6.7,8.9,2.9,1.3,0.5,3.4,3.6,14.9,13.7,0.504,24.1,1.9,-1.9,0.1
Mychal Thompson,1985-86,C,POR,82.0,78.0,31.3,6.1,12.3,0.498,0.0,0.0,,2.4,3.8,0.641,2.2,5.2,7.4,2.1,0.9,0.4,2.4,3.3,14.7,13.7,0.525,20.7,3.7,-1.9,0.1
Wayman Tisdale,1985-86,PF,IND,81.0,60.0,28.1,6.4,12.4,0.515,0.0,0.0,0.0,2.0,2.9,0.684,2.4,4.9,7.2,1.0,0.4,0.5,2.3,3.6,14.7,14.0,0.539,23.3,3.2,-2.8,-0.4
Thurl Bailey,1985-86,PF,UTA,82.0,13.0,28.8,5.9,13.1,0.448,0.0,0.1,0.0,2.8,3.4,0.83,1.8,4.2,6.0,1.9,0.5,1.4,1.8,2.0,14.6,15.0,0.499,23.0,4.0,-0.9,0.7
Norm Nixon,1985-86,PG,LAC,67.0,62.0,31.9,6.0,13.7,0.438,0.6,1.8,0.347,2.0,2.4,0.809,0.7,2.0,2.7,8.6,1.3,0.0,2.8,2.1,14.6,15.7,0.493,22.2,2.0,-0.9,0.6
Albert King,1985-86,SF,NJN,73.0,69.0,27.4,6.0,13.2,0.456,0.1,0.3,0.174,2.3,2.8,0.823,1.6,3.4,5.0,2.5,0.8,0.3,2.5,2.8,14.3,13.3,0.498,24.6,1.9,-2.2,-0.1
Paul Pressey,1985-86,SF,MIL,80.0,80.0,33.8,5.1,10.5,0.488,0.1,0.6,0.182,4.0,4.9,0.806,1.6,3.4,5.0,7.8,2.1,0.9,3.0,3.1,14.3,18.6,0.564,18.6,9.8,5.7,5.3
Vern Fleming,1985-86,PG,IND,80.0,77.0,35.9,5.5,10.8,0.506,0.0,0.1,0.167,3.3,4.4,0.745,1.3,3.6,4.8,6.3,1.6,0.1,2.6,2.9,14.2,15.3,0.558,17.5,6.9,1.1,2.3
Terry Teagle,1985-86,SG,GSW,82.0,52.0,26.3,5.8,11.7,0.496,0.0,0.3,0.16,2.6,3.2,0.796,1.2,1.7,2.9,1.4,0.9,0.4,1.7,2.9,14.2,14.2,0.542,22.0,3.1,-2.1,0.0
Cedric Maxwell,1985-86,SF,LAC,76.0,72.0,32.3,4.1,8.7,0.475,0.0,0.0,0.0,5.9,7.4,0.795,3.2,5.0,8.2,2.8,0.8,0.4,2.7,3.3,14.1,15.6,0.592,18.2,5.4,-0.6,0.9
Chris Mullin,1985-86,SG,GSW,55.0,30.0,25.3,5.2,11.3,0.463,0.1,0.5,0.185,3.4,3.8,0.896,0.8,1.3,2.1,1.9,1.3,0.4,1.4,2.4,14.0,16.0,0.539,22.2,2.9,0.3,0.8
Vinnie Johnson,1985-86,SG,DET,79.0,12.0,25.0,5.9,12.6,0.467,0.0,0.2,0.154,2.1,2.7,0.771,1.5,1.4,2.9,3.4,1.0,0.3,1.1,2.3,13.9,17.0,0.503,23.3,4.7,1.4,1.7
Ricky Pierce,1985-86,SG,MIL,81.0,8.0,26.5,5.3,9.9,0.538,0.0,0.3,0.13,3.3,3.8,0.858,1.2,1.7,2.9,2.2,1.0,0.1,1.3,3.1,13.9,16.6,0.603,19.5,8.3,1.9,2.1
Steve Johnson,1985-86,C,SAS,71.0,55.0,25.7,5.1,8.1,0.632,0.0,0.0,,3.6,5.3,0.694,2.0,4.5,6.5,1.3,0.6,0.9,2.7,4.1,13.8,16.8,0.667,20.4,4.9,-0.4,0.7
Fat Lever,1985-86,PG,DEN,78.0,77.0,33.5,6.0,13.6,0.441,0.2,0.5,0.316,1.7,2.3,0.725,1.7,3.6,5.4,7.5,2.3,0.2,2.7,2.6,13.8,15.7,0.473,19.9,4.5,1.6,2.4
Jay Vincent,1985-86,PF,DAL,80.0,3.0,24.9,5.5,11.5,0.481,0.0,0.0,0.0,2.8,3.4,0.81,1.3,3.3,4.6,2.3,0.8,0.3,1.8,2.4,13.8,16.4,0.532,24.2,3.4,-1.2,0.4
Melvin Turpin,1985-86,C,CLE,80.0,69.0,28.7,5.7,10.5,0.544,0.0,0.1,0.0,2.3,2.9,0.811,2.3,4.7,7.0,0.7,0.8,1.3,1.7,3.3,13.7,16.4,0.585,19.1,6.0,0.4,1.4
Steve Stipanovich,1985-86,C,IND,79.0,65.0,30.3,5.3,11.2,0.47,0.0,0.1,0.2,3.1,4.0,0.768,2.2,5.7,7.9,2.6,0.9,0.9,1.8,3.3,13.6,15.9,0.526,20.0,5.9,1.4,2.0
Sidney Green,1985-86,PF,CHI,80.0,68.0,28.8,5.1,10.9,0.465,0.0,0.1,0.0,3.3,4.2,0.782,2.6,5.6,8.2,1.7,0.9,0.5,2.8,3.7,13.5,14.2,0.526,21.9,2.5,-2.7,-0.4
Gus Williams,1985-86,PG,WSB,77.0,67.0,29.7,5.6,13.2,0.428,0.4,1.5,0.259,1.8,2.4,0.734,0.7,1.5,2.2,5.9,1.2,0.2,2.1,1.5,13.5,15.0,0.473,23.0,2.8,-0.3,1.0
Wayne Cooper,1985-86,C,DEN,78.0,78.0,27.1,5.4,11.6,0.466,0.0,0.1,0.429,2.2,2.8,0.795,2.4,5.4,7.8,1.0,0.5,2.9,1.5,4.0,13.1,16.3,0.509,20.4,5.1,-0.5,0.8
Gerald Henderson,1985-86,PG,SEA,82.0,82.0,31.3,5.3,11.0,0.482,0.2,0.6,0.346,2.3,2.7,0.83,1.1,1.2,2.3,5.9,1.7,0.1,2.2,2.8,13.1,15.7,0.537,19.3,6.2,1.3,2.1
Jim Paxson,1985-86,SG,POR,75.0,31.0,25.7,5.0,10.6,0.47,0.3,0.8,0.323,2.9,3.3,0.889,0.6,1.4,2.0,3.7,1.3,0.1,1.5,2.1,13.1,15.9,0.545,20.7,4.8,0.6,1.3
Johnny Moore,1985-86,PG,SAS,28.0,23.0,30.6,5.4,10.8,0.495,0.1,0.8,0.182,2.1,3.1,0.686,0.9,2.2,3.1,9.0,2.5,0.2,2.9,2.8,13.0,18.3,0.533,19.8,2.1,4.0,1.3
Randy Wittman,1985-86,SG,ATL,81.0,79.0,34.1,5.8,10.9,0.53,0.1,0.2,0.313,1.3,1.7,0.77,0.6,1.5,2.1,3.8,1.0,0.2,1.4,1.5,12.9,13.0,0.555,15.6,5.9,0.5,1.7
LaSalle Thompson,1985-86,C,SAC,80.0,64.0,29.7,5.1,9.9,0.518,0.0,0.0,0.0,2.5,3.5,0.732,3.2,6.5,9.6,2.1,0.9,1.4,2.3,3.7,12.8,16.4,0.559,18.7,5.6,0.7,1.6
Frank Johnson,1985-86,PG,WSB,14.0,9.0,28.7,4.9,11.0,0.448,0.0,0.2,0.0,2.7,3.9,0.704,0.5,1.5,2.0,5.4,0.8,0.1,2.1,2.1,12.6,13.7,0.495,21.5,0.5,-2.0,0.0
Bill Hanzlik,1985-86,SF,DEN,79.0,0.0,25.1,4.2,9.4,0.447,0.1,0.5,0.195,4.0,5.1,0.785,1.1,2.2,3.3,4.0,1.4,0.2,2.1,3.5,12.5,15.3,0.537,21.1,4.7,0.4,1.2
Gerald Wilkins,1985-86,SG,NYK,81.0,53.0,25.0,5.4,11.5,0.468,0.1,0.3,0.28,1.6,2.9,0.557,1.1,1.4,2.6,2.0,0.8,0.1,1.9,1.9,12.5,12.2,0.488,24.7,0.7,-2.1,-0.1
Kevin Willis,1985-86,PF,ATL,82.0,59.0,28.0,5.1,9.9,0.517,0.0,0.1,0.0,2.1,3.2,0.654,3.0,5.6,8.6,0.5,0.8,0.5,2.2,3.6,12.3,14.1,0.545,19.6,4.7,-1.9,0.0
Derek Harper,1985-86,PG,DAL,79.0,39.0,27.2,4.9,9.2,0.534,0.2,0.6,0.235,2.2,2.9,0.747,0.9,1.9,2.9,5.3,1.9,0.3,1.8,2.1,12.2,18.8,0.58,18.5,6.2,3.4,2.9
Robert Reid,1985-86,SF,HOU,82.0,5.0,26.3,5.0,10.7,0.464,0.1,0.4,0.182,2.0,2.6,0.757,0.8,2.9,3.7,2.7,1.1,0.2,1.2,2.8,12.0,13.7,0.506,19.4,4.4,-1.2,0.5
Larry Drew,1985-86,PG,SAC,75.0,31.0,26.3,5.0,10.3,0.485,0.1,0.4,0.323,1.7,2.1,0.795,0.3,1.3,1.7,4.5,0.9,0.0,1.8,1.8,11.9,13.7,0.525,20.1,2.8,-1.3,0.3
Louis Orr,1985-86,SF,NYK,74.0,64.0,30.2,4.5,10.0,0.445,0.0,0.1,0.0,2.9,3.8,0.784,1.7,2.6,4.2,2.4,0.8,0.4,1.6,2.4,11.9,12.4,0.509,18.4,3.7,-0.7,0.7
Sam Bowie,1985-86,C,POR,38.0,34.0,29.8,4.4,9.1,0.484,0.0,0.0,,3.0,4.2,0.708,2.4,6.2,8.6,2.6,0.6,2.5,2.3,3.7,11.8,15.2,0.539,17.6,2.4,1.2,0.9
John Bagley,1985-86,PG,CLE,78.0,77.0,31.7,4.7,11.1,0.423,0.1,0.5,0.243,2.2,2.8,0.791,1.0,2.6,3.5,9.4,1.6,0.1,3.1,2.1,11.7,15.2,0.475,19.8,3.0,0.6,1.6
Rickey Green,1985-86,PG,UTA,80.0,44.0,25.2,4.5,9.5,0.471,0.1,0.4,0.172,2.7,3.1,0.852,0.4,1.3,1.7,5.1,1.3,0.1,1.7,1.6,11.7,16.4,0.537,20.1,5.2,1.0,1.5
Rory White,1985-86,SF,LAC,75.0,30.0,23.5,4.7,9.1,0.519,0.0,0.1,0.111,2.2,3.0,0.739,1.1,1.3,2.4,1.0,1.0,0.1,1.3,2.1,11.7,14.0,0.56,20.0,2.6,-2.1,-0.1
Dan Roundfield,1985-86,PF,WSB,79.0,21.0,29.4,4.1,8.4,0.488,0.0,0.1,0.0,3.5,4.6,0.754,2.7,5.5,8.1,2.1,0.5,0.6,2.4,2.5,11.6,14.7,0.56,18.1,5.1,-0.8,0.7
Al Wood,1985-86,SG,SEA,78.0,34.0,22.4,4.6,10.5,0.435,0.1,0.5,0.135,2.4,3.1,0.782,1.0,2.1,3.1,1.5,0.7,0.2,1.4,2.2,11.6,13.5,0.489,24.6,2.5,-1.5,0.2
Doc Rivers,1985-86,PG,ATL,53.0,50.0,29.6,4.2,8.8,0.474,0.0,0.3,0.0,3.2,5.3,0.608,0.9,2.1,3.1,8.4,2.3,0.2,2.7,3.5,11.5,17.4,0.52,19.0,4.2,3.4,2.1
Phil Hubbard,1985-86,SF,CLE,23.0,21.0,27.8,4.0,8.6,0.47,0.0,0.0,0.0,3.3,4.9,0.679,2.1,3.1,5.2,1.3,0.9,0.1,2.9,3.4,11.4,9.7,0.53,20.0,0.2,-3.5,-0.2
