Player,Season,Pos,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,USG%,WS,BPM,VORP
Dominique Wilkins,1985-86,SF,ATL,78.0,78.0,39.1,11.4,24.3,0.468,0.2,0.9,0.186,7.4,9.0,0.818,3.3,4.6,7.9,2.6,1.8,0.6,3.2,2.2,30.3,23.3,0.536,32.9,10.8,4.2,4.8
Adrian Dantley,1985-86,SF,UTA,76.0,75.0,36.1,10.8,19.1,0.563,0.0,0.1,0.091,8.3,10.5,0.791,2.3,2.9,5.2,3.5,0.8,0.1,3.0,2.7,29.8,24.6,0.629,30.0,12.8,4.9,4.8
Alex English,1985-86,SF,DEN,81.0,81.0,37.3,11.7,23.3,0.504,0.0,0.1,0.2,6.3,7.3,0.862,2.4,2.6,5.0,4.0,0.9,0.4,3.1,2.9,29.8,21.7,0.562,30.5,9.8,2.9,3.7
Larry Bird,1985-86,SF,BOS,82.0,81.0,38.0,9.7,19.6,0.496,1.0,2.4,0.423,5.4,6.0,0.896,2.3,7.5,9.8,6.8,2.0,0.6,3.2,2.2,25.8,25.6,0.58,27.6,15.8,8.7,8.4
Purvis Short,1985-86,SF,GSW,64.0,63.0,37.9,9.9,20.5,0.482,0.2,0.8,0.306,5.5,6.3,0.865,2.0,3.2,5.1,3.7,1.4,0.3,2.9,3.6,25.5,19.1,0.547,27.1,5.7,1.0,1.8
Kiki Vandeweghe,1985-86,SF,POR,79.0,76.0,35.3,9.1,16.9,0.54,0.0,0.1,0.125,6.6,7.6,0.869,1.2,1.6,2.7,2.4,0.7,0.2,2.2,2.0,24.8,19.7,0.614,25.1,9.9,1.4,2.4
Moses Malone,1985-86,C,PHI,74.0,74.0,36.6,7.7,16.8,0.458,0.0,0.0,0.0,8.3,10.6,0.787,4.6,7.2,11.8,1.2,0.9,1.0,3.5,2.6,23.8,20.6,0.553,27.6,8.9,-0.1,1.3
Hakeem Olajuwon,1985-86,C,HOU,68.0,68.0,36.3,9.2,17.5,0.526,0.0,0.0,,5.1,7.9,0.645,4.9,6.6,11.5,2.0,2.0,3.4,2.9,4.0,23.5,24.2,0.56,25.6,9.5,4.0,3.8
Derek Smith,1985-86,SG,LAC,11.0,9.0,30.8,9.1,16.5,0.552,0.1,0.2,0.5,5.3,7.6,0.69,1.8,1.9,3.7,2.8,0.8,1.2,3.0,3.2,23.5,21.8,0.594,29.7,0.8,4.4,0.6
Kareem Abdul-Jabbar,1985-86,C,LAL,79.0,79.0,33.3,9.6,16.9,0.564,0.0,0.0,0.0,4.3,5.6,0.765,1.7,4.4,6.1,3.5,0.8,1.6,2.6,3.1,23.4,22.7,0.603,26.6,10.8,5.4,4.9
World B. Free,1985-86,SG,CLE,75.0,75.0,33.8,8.7,19.1,0.455,0.9,2.3,0.42,5.1,6.5,0.78,1.0,1.9,2.9,4.2,1.2,0.3,2.3,2.5,23.4,19.0,0.533,29.3,6.1,2.3,2.8
