Player,Season,Pos,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,USG%,WS,BPM,VORP
Kobe Bryant,2005-06,SG,LAL,80.0,80.0,41.0,12.2,27.2,0.45,2.3,6.5,0.347,8.7,10.2,0.85,0.9,4.4,5.3,4.5,1.8,0.4,3.1,2.9,35.4,28.0,0.559,38.7,15.3,7.6,8.0
Allen Iverson,2005-06,PG,PHI,72.0,72.0,43.1,11.3,25.3,0.447,1.0,3.1,0.323,9.4,11.5,0.814,0.6,2.6,3.2,7.4,1.9,0.1,3.4,1.7,33.0,25.9,0.543,35.8,10.6,4.8,5.3
LeBron James,2005-06,SF,CLE,79.0,79.0,42.5,11.1,23.1,0.48,1.6,4.8,0.335,7.6,10.3,0.738,0.9,6.1,7.0,6.6,1.6,0.8,3.3,2.3,31.4,28.1,0.568,33.6,16.3,9.1,9.4
Gilbert Arenas,2005-06,PG,WAS,80.0,80.0,42.3,9.3,20.9,0.447,2.5,6.8,0.369,8.2,10.0,0.82,0.7,2.8,3.5,6.1,2.0,0.3,3.7,3.6,29.3,23.8,0.581,30.5,13.6,5.4,6.3
Dwyane Wade,2005-06,SG,MIA,75.0,75.0,38.6,9.3,18.8,0.495,0.2,1.0,0.171,8.4,10.7,0.783,1.4,4.3,5.7,6.7,1.9,0.8,3.6,2.9,27.2,27.6,0.577,32.5,14.4,7.7,7.1
Paul Pierce,2005-06,SF,BOS,79.0,79.0,39.0,8.7,18.5,0.471,1.4,4.0,0.354,7.9,10.3,0.772,1.0,5.7,6.7,4.7,1.4,0.4,3.5,2.8,26.8,23.6,0.582,31.2,11.5,4.8,5.3
Dirk Nowitzki,2005-06,PF,DAL,81.0,81.0,38.1,9.3,19.3,0.48,1.4,3.3,0.406,6.7,7.4,0.901,1.4,7.6,9.0,2.8,0.7,1.0,1.9,2.0,26.6,28.1,0.589,30.0,17.7,8.1,7.9
Carmelo Anthony,2005-06,SF,DEN,80.0,80.0,36.8,9.5,19.7,0.481,0.5,1.9,0.243,7.2,8.9,0.808,1.5,3.4,4.9,2.7,1.1,0.5,2.7,2.9,26.5,22.0,0.563,32.0,9.4,2.7,3.5
Michael Redd,2005-06,SG,MIL,80.0,80.0,39.1,8.5,19.0,0.45,2.0,5.2,0.395,6.3,7.1,0.877,1.0,3.3,4.3,2.9,1.2,0.1,2.1,2.0,25.4,21.2,0.574,28.3,10.8,3.8,4.6
Ray Allen,2005-06,SG,SEA,78.0,78.0,38.7,8.7,19.2,0.454,3.4,8.4,0.412,4.2,4.6,0.903,0.9,3.3,4.3,3.7,1.3,0.2,2.4,1.9,25.1,22.2,0.59,27.4,9.5,4.4,4.9
Elton Brand,2005-06,PF,LAC,79.0,79.0,39.2,9.6,18.2,0.527,0.0,0.0,0.333,5.6,7.2,0.775,3.0,7.0,10.0,2.6,1.0,2.5,2.2,2.9,24.7,26.5,0.58,27.7,14.8,6.7,6.8
Tracy McGrady,2005-06,SF,HOU,47.0,47.0,37.1,8.7,21.5,0.406,1.6,5.0,0.312,5.4,7.2,0.747,1.0,5.6,6.5,4.8,1.3,0.9,2.6,1.9,24.4,21.9,0.494,35.0,4.1,5.4,3.3
Vince Carter,2005-06,SG,NJN,79.0,79.0,36.8,8.3,19.2,0.43,1.6,4.6,0.341,6.1,7.6,0.799,1.7,4.1,5.8,4.3,1.2,0.7,2.7,3.0,24.2,21.6,0.536,32.3,9.3,5.1,5.2
Jason Richardson,2005-06,SG,GSW,75.0,75.0,38.4,8.5,19.2,0.446,2.4,6.4,0.384,3.7,5.5,0.673,1.4,4.4,5.8,3.1,1.3,0.5,2.2,2.7,23.2,19.2,0.538,27.6,7.3,3.1,3.7
Chris Bosh,2005-06,C,TOR,70.0,70.0,39.3,7.8,15.5,0.505,0.0,0.2,0.0,6.8,8.3,0.816,2.9,6.3,9.2,2.6,0.7,1.1,2.2,3.0,22.5,23.2,0.585,25.2,9.8,2.9,3.4
Yao Ming,2005-06,C,HOU,57.0,57.0,34.2,8.2,15.8,0.519,0.0,0.0,0.0,5.9,6.9,0.853,2.6,7.6,10.2,1.5,0.5,1.6,2.6,3.4,22.3,25.6,0.592,29.9,8.6,4.4,3.2
Kevin Garnett,2005-06,PF,MIN,76.0,76.0,38.9,8.2,15.7,0.526,0.1,0.4,0.267,5.2,6.4,0.81,2.8,9.9,12.7,4.1,1.4,1.4,2.4,2.7,21.8,26.8,0.589,25.5,14.9,7.8,7.4
