Player,Season,Pos,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,USG%,WS,BPM,VORP
James Harden,2019-20,SG,HOU,68.0,68.0,36.5,9.9,22.3,0.444,4.4,12.4,0.355,10.2,11.8,0.865,1.0,5.5,6.6,7.5,1.8,0.9,4.5,3.3,34.3,29.1,0.626,36.3,13.1,9.6,7.3
Bradley Beal,2019-20,SG,WAS,57.0,57.0,36.0,10.4,22.9,0.455,3.0,8.4,0.353,6.8,8.0,0.842,0.9,3.3,4.2,6.1,1.2,0.4,3.4,2.2,30.5,23.2,0.579,34.4,5.1,2.9,2.5
Damian Lillard,2019-20,PG,POR,66.0,66.0,37.5,9.5,20.4,0.463,4.1,10.2,0.401,7.0,7.8,0.888,0.5,3.8,4.3,8.0,1.1,0.3,2.9,1.7,30.0,26.9,0.627,30.3,11.6,7.5,5.9
Trae Young,2019-20,PG,ATL,60.0,60.0,35.3,9.1,20.8,0.437,3.4,9.5,0.361,8.0,9.3,0.86,0.5,3.7,4.3,9.3,1.1,0.1,4.8,1.7,29.6,23.9,0.595,34.9,5.9,3.9,3.1
Giannis Antetokounmpo,2019-20,PF,MIL,63.0,63.0,30.4,10.9,19.7,0.553,1.4,4.7,0.304,6.3,10.0,0.633,2.2,11.4,13.6,5.6,1.0,1.0,3.7,3.1,29.5,31.9,0.613,37.5,11.1,11.5,6.6
Luka DonÄiÄ,2019-20,PG,DAL,61.0,61.0,33.6,9.5,20.6,0.463,2.8,8.9,0.316,7.0,9.2,0.758,1.3,8.1,9.4,8.8,1.0,0.2,4.3,2.5,28.8,27.6,0.585,36.8,8.8,8.4,5.4
Kyrie Irving,2019-20,PG,BRK,20.0,20.0,32.9,10.0,20.8,0.478,2.8,7.1,0.394,4.7,5.1,0.922,1.1,4.1,5.2,6.4,1.4,0.5,2.6,2.7,27.4,26.2,0.595,32.6,2.9,7.7,1.6
Russell Westbrook,2019-20,PG,HOU,57.0,57.0,35.9,10.6,22.5,0.472,1.0,3.7,0.258,5.1,6.7,0.763,1.8,6.2,7.9,7.0,1.6,0.4,4.5,3.5,27.2,21.0,0.536,34.4,4.2,1.5,1.8
Kawhi Leonard,2019-20,SF,LAC,57.0,57.0,32.4,9.3,19.9,0.47,2.2,5.7,0.378,6.2,7.1,0.886,0.9,6.1,7.1,4.9,1.8,0.6,2.6,2.0,27.1,26.9,0.589,33.0,8.7,8.9,5.1
Devin Booker,2019-20,SG,PHO,70.0,70.0,35.9,9.0,18.3,0.489,2.0,5.7,0.354,6.7,7.3,0.919,0.4,3.8,4.2,6.5,0.7,0.3,3.8,3.0,26.6,20.6,0.618,30.0,7.5,2.2,2.6
Karl-Anthony Towns,2019-20,C,MIN,35.0,35.0,33.9,9.0,17.8,0.508,3.3,7.9,0.412,5.1,6.5,0.796,2.7,8.1,10.8,4.4,0.9,1.2,3.1,3.3,26.5,26.5,0.642,28.8,5.1,7.8,2.9
Anthony Davis,2019-20,PF,LAL,62.0,62.0,34.4,8.9,17.7,0.503,1.2,3.5,0.33,7.2,8.5,0.846,2.3,7.0,9.3,3.2,1.5,2.3,2.5,2.5,26.1,27.4,0.61,29.3,11.1,8.0,5.4
Zach LaVine,2019-20,SF,CHI,60.0,60.0,34.8,9.0,20.0,0.45,3.1,8.1,0.38,4.5,5.6,0.802,0.7,4.1,4.8,4.2,1.5,0.5,3.4,2.2,25.5,19.4,0.568,31.7,4.0,2.5,2.4
LeBron James,2019-20,PG,LAL,67.0,67.0,34.6,9.6,19.4,0.493,2.2,6.3,0.348,3.9,5.7,0.693,1.0,6.9,7.8,10.2,1.2,0.5,3.9,1.8,25.3,25.5,0.577,31.5,9.8,8.4,6.1
Donovan Mitchell,2019-20,SG,UTA,69.0,69.0,34.3,8.7,19.4,0.449,2.5,6.9,0.366,4.0,4.7,0.863,0.8,3.6,4.4,4.3,1.0,0.2,2.7,2.5,24.0,18.8,0.558,30.8,5.4,1.9,2.3
Brandon Ingram,2019-20,PF,NOP,62.0,62.0,33.9,8.2,17.7,0.463,2.4,6.2,0.391,5.0,5.9,0.851,0.8,5.3,6.1,4.2,1.0,0.6,3.0,2.9,23.8,18.8,0.587,28.1,5.1,2.1,2.2
Jayson Tatum,2019-20,PF,BOS,66.0,66.0,34.3,8.4,18.6,0.45,2.9,7.1,0.403,3.8,4.7,0.812,1.0,6.0,7.0,3.0,1.4,0.9,2.3,2.1,23.4,20.4,0.567,28.6,6.9,4.0,3.4
D'Angelo Russell,2019-20,PG,2TM,45.0,45.0,32.3,8.0,18.8,0.426,3.5,9.6,0.367,3.6,4.4,0.809,0.4,3.6,3.9,6.3,1.1,0.3,3.3,1.9,23.1,18.7,0.556,31.5,1.8,1.9,1.4
Joel Embiid,2019-20,C,PHI,51.0,51.0,29.5,7.5,15.7,0.477,1.1,3.4,0.331,6.9,8.5,0.807,2.8,8.9,11.6,3.0,0.9,1.3,3.1,3.4,23.0,25.8,0.59,32.9,6.0,4.7,2.5
Pascal Siakam,2019-20,PF,TOR,60.0,60.0,35.2,8.3,18.4,0.453,2.2,6.1,0.359,4.0,5.1,0.792,1.1,6.3,7.3,3.5,1.0,0.9,2.5,2.8,22.9,17.9,0.554,28.1,5.4,1.8,2.0
Zion Williamson,2019-20,PF,NOP,24.0,24.0,27.8,8.8,15.0,0.583,0.3,0.6,0.429,4.8,7.4,0.64,2.7,3.6,6.3,2.1,0.7,0.4,2.5,1.8,22.5,24.1,0.616,30.5,2.0,2.1,0.7
CJ McCollum,2019-20,SG,POR,70.0,70.0,36.5,8.7,19.4,0.451,2.8,7.3,0.379,2.0,2.6,0.757,0.7,3.6,4.2,4.4,0.8,0.6,1.8,2.6,22.2,17.0,0.541,25.9,4.1,0.5,1.6
DeMar DeRozan,2019-20,SF,SAS,68.0,68.0,34.1,8.2,15.4,0.531,0.1,0.5,0.257,5.6,6.6,0.845,0.6,4.9,5.5,5.6,1.0,0.3,2.4,2.6,22.1,21.6,0.603,26.3,7.3,1.9,2.3
Andrew Wiggins,2019-20,SF,2TM,54.0,54.0,34.4,8.1,18.1,0.447,2.1,6.2,0.332,3.5,5.0,0.709,1.2,3.9,5.1,3.7,0.8,1.0,2.4,2.4,21.8,16.4,0.536,27.4,1.9,-0.3,0.8
John Collins,2019-20,PF,ATL,41.0,41.0,33.2,8.6,14.8,0.583,1.4,3.6,0.401,2.9,3.7,0.8,2.8,7.3,10.1,1.5,0.8,1.6,1.8,3.4,21.6,23.5,0.659,22.7,4.9,3.1,1.7
Paul George,2019-20,SF,LAC,48.0,48.0,29.6,7.1,16.3,0.439,3.3,7.9,0.412,4.0,4.5,0.876,0.5,5.2,5.7,3.9,1.4,0.4,2.6,2.4,21.5,21.1,0.589,29.6,4.8,4.9,2.5
De'Aaron Fox,2019-20,PG,SAC,51.0,49.0,32.0,7.7,16.0,0.48,1.1,3.6,0.292,4.7,6.7,0.705,0.7,3.2,3.8,6.8,1.5,0.5,3.1,2.8,21.1,20.6,0.558,29.8,4.0,1.8,1.6
Khris Middleton,2019-20,SF,MIL,62.0,59.0,29.9,7.6,15.3,0.497,2.4,5.7,0.415,3.4,3.7,0.916,0.7,5.5,6.2,4.3,0.9,0.1,2.2,2.3,20.9,21.1,0.619,26.4,7.9,4.1,2.9
Stephen Curry,2019-20,PG,GSW,5.0,5.0,27.8,6.6,16.4,0.402,2.4,9.8,0.245,5.2,5.2,1.0,0.8,4.4,5.2,6.6,1.0,0.4,3.2,2.2,20.8,21.7,0.557,33.6,0.3,3.9,0.2
Collin Sexton,2019-20,PG,CLE,65.0,65.0,33.0,7.9,16.7,0.472,1.5,3.9,0.38,3.5,4.1,0.846,0.9,2.2,3.1,3.0,1.0,0.1,2.4,2.2,20.8,16.3,0.56,27.2,2.5,-1.8,0.1
Spencer Dinwiddie,2019-20,PG,BRK,64.0,49.0,31.2,6.6,16.0,0.415,1.9,6.3,0.308,5.4,7.0,0.778,0.5,3.0,3.5,6.8,0.6,0.3,2.7,2.8,20.6,17.8,0.541,29.2,4.8,1.8,1.9
Kristaps PorziÅÄ£is,2019-20,C,DAL,57.0,57.0,31.8,7.0,16.4,0.427,2.5,7.1,0.352,4.0,5.0,0.799,1.8,7.7,9.5,1.8,0.7,2.0,1.6,3.2,20.4,20.2,0.551,27.0,5.2,1.9,1.8
Kemba Walker,2019-20,PG,BOS,56.0,56.0,31.1,6.8,15.9,0.425,3.2,8.4,0.381,3.7,4.3,0.864,0.6,3.2,3.9,4.8,0.9,0.5,2.1,1.6,20.4,20.0,0.575,27.2,5.9,4.6,2.9
